Wall time,Step,Value
1752434743.6073153,1255000,731.3185424804688
1752434748.7331522,1257500,854.6138916015625
1752434754.8727822,1260000,708.5060424804688
1752434771.1039283,1267500,825.78369140625
1752434781.9962556,1272500,839.7044677734375
1752434787.3358614,1275000,822.4029541015625
1752434792.898682,1277500,783.90478515625
1752434799.1700976,1280000,756.258056640625
1752434804.2459881,1282500,829.7373046875
1752434809.9874635,1285000,866.4275512695312
1752434814.7621663,1287500,852.3602294921875
1752434830.624347,1295000,927.3556518554688
1752434835.238555,1297500,936.924072265625
1752434840.705582,1300000,960.3112182617188
1752434845.0558448,1302500,951.1279907226562
1752434858.2516658,1310000,856.4821166992188
1752434894.0580695,1327500,1022.0208740234375
1752434910.551744,1335000,1080.84375
1752434915.380449,1337500,1089.0904541015625
1752434926.4552739,1342500,1121.15771484375
1752434931.170223,1345000,1057.8170166015625
1752434935.68531,1347500,1044.88232421875
1752434940.4392684,1350000,1014.8511352539062
1752434946.6271374,1352500,1014.9326171875
1752434958.1331139,1357500,1044.4432373046875
1752434963.2619941,1360000,987.8534545898438
1752434968.1075783,1362500,983.4329833984375
1752434977.7619095,1367500,1037.3389892578125
1752434983.3529315,1370000,979.2113037109375
1752434996.5376098,1377500,963.523681640625
1752435007.137621,1382500,923.2147827148438
1752435017.708777,1387500,1064.915771484375
1752435024.4140472,1390000,1031.4974365234375
1752435029.613344,1392500,1038.7685546875
1752435061.7945564,1407500,948.3809204101562
1752435065.6509247,1410000,1040.5472412109375
1752435069.2299802,1412500,1021.83056640625
1752435081.8784416,1422500,991.6394653320312
1752435096.9380507,1430000,1042.358642578125
1752435107.047202,1435000,986.4305419921875
1752435121.42282,1442500,974.2825317382812
1752435141.6282494,1452500,1046.830078125
1752435163.3106768,1462500,1086.8697509765625
1752435169.3394666,1465000,1078.570068359375
1752435174.4637513,1467500,1108.088623046875
1752435185.4532042,1472500,986.7183837890625
1752435195.5281105,1477500,1110.6590576171875
1752435200.8343625,1480000,1077.16259765625
1752435204.6667106,1482500,1119.6280517578125
1752435216.0773253,1487500,1101.5198974609375
1752435228.12023,1492500,1076.84619140625
1752435232.2364926,1495000,1054.0875244140625
1752435236.2113025,1497500,1034.3475341796875
1752435242.0263498,1500000,981.6053466796875
1752435253.6116896,1505000,1174.119873046875
1752435259.058405,1507500,1090.1512451171875
1752435264.1682673,1510000,1218.545654296875
1752435272.6072195,1515000,1237.7689208984375
1752435288.131412,1522500,1288.2452392578125
1752435294.9894016,1527500,1103.9788818359375
1752435307.8164344,1535000,1139.7772216796875
1752435313.592816,1537500,1100.793701171875
1752435323.0824194,1542500,1092.6741943359375
