Wall time,Step,Value
1752492753.1696653,49800,-1.0015381574630737
1752492753.4269295,50000,-1.3657188415527344
1752492754.3378088,50200,-0.8406691551208496
1752492754.577856,50400,-0.653836727142334
1752492754.8195934,50600,-1.305873155593872
1752492755.0599978,50800,-0.9997124671936035
1752492755.2855477,51000,-0.643384575843811
1752492756.134767,51200,-0.9808019995689392
1752492756.3749278,51400,-1.3095759153366089
1752492756.6071947,51600,-1.1620970964431763
1752492756.8321068,51800,-0.9942085146903992
1752492757.0588405,52000,-1.2976402044296265
1752492757.2899952,52200,-1.4432553052902222
1752492758.014951,52400,-0.48822590708732605
1752492758.2548835,52600,-0.6489471197128296
1752492758.4827714,52800,-0.8248575925827026
1752492758.709997,53000,-0.48527806997299194
1752492758.9455652,53200,-1.1415914297103882
1752492759.8408792,53400,-0.812949001789093
1752492760.094924,53600,-1.285740613937378
1752492760.3341234,53800,-0.7874656915664673
1752492760.5854378,54000,-1.1545679569244385
1752492760.8160932,54200,-1.3338133096694946
1752492761.5587897,54400,-0.4910457730293274
1752492761.789696,54600,-1.3730053901672363
1752492762.016537,54800,-1.0270063877105713
1752492762.251335,55000,-1.5394500494003296
1752492762.492862,55200,-1.4692491292953491
1752492763.4003716,55400,-0.8319012522697449
1752492763.6560376,55600,-1.0038881301879883
1752492763.9071686,55800,-1.1268682479858398
1752492764.1569362,56000,-1.2940728664398193
1752492764.40157,56200,-0.8782553672790527
1752492765.2420926,56400,-1.3401206731796265
1752492765.4814363,56600,-1.5117707252502441
1752492765.7294748,56800,-0.8208798766136169
1752492765.9612432,57000,-1.4305039644241333
1752492766.1986384,57200,-0.49309611320495605
1752492767.0364304,57400,-0.6547183394432068
1752492767.2755735,57600,-2.2510814666748047
1752492767.5098484,57800,-0.6649046540260315
1752492767.7438526,58000,-1.43300199508667
1752492767.9762115,58200,-1.1619826555252075
1752492768.8246932,58400,-0.681830108165741
1752492769.0594661,58600,-1.120745062828064
1752492769.2904558,58800,-1.1163575649261475
1752492769.519826,59000,-1.0119675397872925
1752492769.741368,59200,-0.9879481196403503
1752492770.5032072,59400,-1.0259348154067993
1752492770.7332747,59600,-0.6602830290794373
1752492770.961459,59800,-0.9730363488197327
1752492771.195311,60000,-0.6782577633857727
1752492771.4319587,60200,-0.8261455297470093
1752492771.6765223,60400,-1.2197288274765015
1752492772.5586329,60600,-0.6666101813316345
1752492772.7921975,60800,-0.49399012327194214
1752492773.019652,61000,-1.3768411874771118
1752492773.2508082,61200,-0.327148973941803
